PM2.5,PM10,CO,O3,NO2,SO2,NO,NOx,AQI_Bucket,City
111.8,95.68,9.23,5.99,11.51,5.27,9.23,20.74,Poor,Ahmedabad
30.0,95.68,8.87,6.31,13.59,8.09,8.87,22.64,Poor,Ahmedabad
4.66,95.68,9.01,6.38,10.9,7.31,9.01,20.36,Poor,Ahmedabad
48.72,95.68,9.56,6.61,11.94,5.72,9.56,21.5,Poor,Ahmedabad
49.7,95.68,9.43,6.42,9.81,6.78,9.43,19.23,Poor,Ahmedabad
48.1,95.68,8.03,7.6,9.53,9.33,8.03,17.57,Poor,Ahmedabad
47.43,95.68,8.11,7.08,9.45,7.93,8.11,17.56,Moderate,Ahmedabad
51.74,95.68,8.91,5.78,12.38,10.05,8.91,21.28,Moderate,Ahmedabad
42.68,95.68,9.74,4.44,11.08,10.87,9.74,20.82,Poor,Ahmedabad
38.45,95.68,10.55,3.24,7.8,10.28,10.55,18.35,Poor,Ahmedabad
46.69,95.68,11.48,5.76,0.17,10.25,11.48,11.64,Poor,Ahmedabad
55.27,95.68,11.55,6.55,0.12,12.7,11.55,11.66,Poor,Ahmedabad
149.03,95.68,11.49,7.27,0.16,10.07,11.49,11.65,Poor,Ahmedabad
86.57,95.68,11.47,6.53,0.17,11.09,11.47,11.64,Poor,Ahmedabad
111.77,95.68,11.3,4.67,0.24,7.73,11.3,11.53,Poor,Ahmedabad
151.4,95.68,10.8,5.46,0.36,7.8,10.8,11.16,Very Poor,Ahmedabad
51.35,95.68,8.0,5.76,2.69,10.0,8.0,10.67,Poor,Ahmedabad
65.37,95.68,0.64,8.02,8.07,16.31,0.64,8.57,Moderate,Ahmedabad
56.28,95.68,0.6,6.2,8.02,18.93,0.6,8.51,Moderate,Ahmedabad
48.17,95.68,0.65,7.97,8.0,18.99,0.65,8.55,Satisfactory,Ahmedabad
33.56,95.68,0.72,10.18,7.89,11.28,0.72,8.56,Satisfactory,Ahmedabad
31.3,95.68,0.55,7.44,8.1,10.29,0.55,8.49,Satisfactory,Ahmedabad
48.12,95.68,0.67,6.3,7.9,1.28,0.67,8.43,Moderate,Ahmedabad
57.11,95.68,0.55,2.6,8.28,14.58,0.55,8.42,Satisfactory,Ahmedabad
34.72,95.68,0.1,4.87,9.73,13.62,0.1,7.88,Satisfactory,Ahmedabad
29.22,95.68,0.06,5.08,9.57,13.58,0.06,7.77,Good,Ahmedabad
29.79,95.68,0.14,5.34,8.64,15.11,0.14,7.97,Satisfactory,Ahmedabad
59.95,95.68,0.18,2.79,8.78,11.52,0.18,8.16,Satisfactory,Ahmedabad
19.2,95.68,1.52,4.61,9.45,11.23,1.52,9.74,Satisfactory,Ahmedabad
19.52,95.68,5.89,4.4,11.26,11.56,5.89,17.15,Moderate,Ahmedabad
35.16,95.68,5.75,3.67,10.89,14.7,5.75,16.64,Moderate,Ahmedabad
33.03,95.68,7.01,3.53,10.58,12.95,7.01,17.58,Moderate,Ahmedabad
40.95,95.68,6.92,3.38,10.47,19.8,6.92,17.39,Moderate,Ahmedabad
40.29,95.68,6.74,3.57,10.52,8.27,6.74,17.26,Moderate,Ahmedabad
41.16,95.68,6.91,3.69,10.51,13.48,6.91,17.42,Moderate,Ahmedabad
36.12,95.68,7.21,6.08,11.56,13.62,7.21,17.07,Moderate,Ahmedabad
28.51,95.68,6.69,7.65,20.52,5.69,6.69,27.21,Moderate,Ahmedabad
31.59,95.68,6.99,7.9,20.42,9.23,6.99,27.41,Moderate,Ahmedabad
42.56,95.68,7.17,9.86,20.4,6.28,7.17,27.57,Moderate,Ahmedabad
48.12,95.68,7.14,12.78,20.3,6.77,7.14,27.45,Moderate,Ahmedabad
37.09,95.68,7.22,7.94,20.21,8.66,7.22,27.42,Moderate,Ahmedabad
33.4,95.68,7.4,8.39,20.09,9.95,7.4,27.5,Moderate,Ahmedabad
38.64,95.68,7.35,6.28,20.21,9.74,7.35,27.55,Moderate,Ahmedabad
40.49,95.68,7.48,21.51,20.23,8.92,7.48,27.71,Moderate,Ahmedabad
41.37,95.68,7.47,19.8,20.2,11.73,7.47,27.68,Moderate,Ahmedabad
44.56,95.68,7.49,22.77,20.06,11.23,7.49,27.55,Moderate,Ahmedabad
65.68,95.68,7.57,30.21,19.94,8.21,7.57,27.51,Moderate,Ahmedabad
33.34,95.68,7.3,32.95,20.27,6.41,7.3,27.57,Moderate,Ahmedabad
39.17,95.68,7.35,26.64,20.24,9.17,7.35,27.58,Moderate,Ahmedabad
34.0,95.68,7.41,17.17,20.1,9.64,7.41,27.51,Moderate,Ahmedabad
36.38,95.68,7.31,13.35,20.14,10.65,7.31,27.45,Moderate,Ahmedabad
38.35,95.68,7.41,18.59,20.16,9.33,7.41,27.57,Moderate,Ahmedabad
38.5,95.68,12.38,16.33,19.67,10.37,12.38,30.02,Poor,Ahmedabad
39.61,95.68,17.31,5.38,14.84,10.76,17.31,32.15,Very Poor,Ahmedabad
61.79,95.68,17.24,8.06,14.82,12.39,17.24,32.06,Very Poor,Ahmedabad
43.22,95.68,17.17,37.87,14.82,11.68,17.17,31.99,Very Poor,Ahmedabad
33.41,95.68,17.12,86.83,14.86,12.96,17.12,31.98,Very Poor,Ahmedabad
36.9,95.68,17.08,54.01,14.85,4.73,17.08,31.93,Very Poor,Ahmedabad
36.36,95.68,17.11,77.3,14.79,8.86,17.11,31.9,Very Poor,Ahmedabad
32.64,95.68,17.01,62.31,14.84,7.05,17.01,31.85,Very Poor,Ahmedabad
38.23,95.68,17.07,55.94,14.89,10.9,17.07,31.96,Very Poor,Ahmedabad
39.86,95.68,16.98,96.83,14.83,10.02,16.98,31.81,Very Poor,Ahmedabad
72.74,95.68,17.04,99.03,14.84,4.23,17.04,31.88,Very Poor,Ahmedabad
43.2,95.68,17.05,59.99,14.86,5.96,17.05,31.91,Very Poor,Ahmedabad
63.2,95.68,17.03,7.57,14.82,3.69,17.03,31.85,Very Poor,Ahmedabad
64.73,95.68,17.01,12.13,14.82,6.45,17.01,31.83,Very Poor,Ahmedabad
65.28,95.68,17.04,18.2,14.85,6.13,17.04,31.89,Very Poor,Ahmedabad
67.86,95.68,16.97,16.53,14.87,8.87,16.97,31.84,Very Poor,Ahmedabad
52.4,95.68,16.97,22.55,14.81,9.89,16.97,31.78,Very Poor,Ahmedabad
33.33,95.68,16.95,33.58,14.89,6.88,16.95,31.84,Very Poor,Ahmedabad
29.52,95.68,16.94,40.65,14.88,8.56,16.94,31.82,Very Poor,Ahmedabad
15.53,95.68,17.0,34.18,14.85,15.13,17.0,31.85,Very Poor,Ahmedabad
57.51,95.68,16.31,15.39,50.9,8.73,16.31,67.22,Moderate,Ahmedabad
50.24,95.68,9.46,13.61,12.31,11.63,9.46,21.77,Poor,Ahmedabad
61.77,95.68,8.68,18.69,15.43,8.1,8.68,24.1,Poor,Ahmedabad
46.93,95.68,7.14,19.03,11.47,7.92,7.14,18.61,Poor,Ahmedabad
43.01,95.68,6.82,20.59,9.96,11.58,6.82,16.78,Moderate,Ahmedabad
42.06,95.68,8.43,28.09,11.35,11.63,8.43,19.78,Moderate,Ahmedabad
44.94,95.68,7.14,59.38,10.94,5.85,7.14,18.07,Poor,Ahmedabad
29.58,95.68,6.61,42.9,9.94,8.82,6.61,16.55,Moderate,Ahmedabad
32.15,95.68,6.5,39.02,9.7,9.2,6.5,16.2,Moderate,Ahmedabad
36.33,95.68,7.68,43.35,12.88,8.28,7.68,20.56,Moderate,Ahmedabad
24.46,95.68,8.45,44.55,10.99,12.59,8.45,19.44,Poor,Ahmedabad
48.57,95.68,0.89,30.84,21.69,9.16,9.89,23.52,Moderate,Ahmedabad
27.08,95.68,9.95,12.46,12.25,9.51,9.95,22.19,Moderate,Ahmedabad
59.29,95.68,9.21,7.69,9.68,5.98,9.21,18.89,Poor,Ahmedabad
65.32,95.68,10.61,4.74,9.62,3.69,10.61,20.23,Poor,Ahmedabad
47.39,95.68,9.26,7.71,10.48,7.72,9.26,19.74,Poor,Ahmedabad
43.88,95.68,8.69,11.53,19.75,4.83,8.69,28.44,Poor,Ahmedabad
28.35,95.68,9.05,15.95,13.62,7.47,9.05,22.68,Poor,Ahmedabad
3.59,95.68,11.26,20.38,14.17,9.6,11.26,25.44,Poor,Ahmedabad
3.04,95.68,16.31,30.05,21.5,13.73,16.31,37.81,Very Poor,Ahmedabad
19.14,95.68,10.33,29.36,30.6,10.96,10.33,40.93,Very Poor,Ahmedabad
69.12,95.68,8.85,28.45,32.41,15.63,8.85,41.26,Poor,Ahmedabad
76.41,95.68,17.96,31.49,34.7,15.44,17.96,52.67,Very Poor,Ahmedabad
102.49,95.68,33.31,24.85,37.85,27.32,33.31,71.17,Severe,Ahmedabad
127.94,95.68,11.14,15.17,28.38,25.59,11.14,39.52,Severe,Ahmedabad
87.18,95.68,7.83,23.17,21.51,6.98,7.83,29.34,Poor,Ahmedabad
99.73,95.68,20.16,20.91,30.23,32.74,20.16,50.39,Very Poor,Ahmedabad
84.15,95.68,15.83,23.12,32.1,19.37,15.83,47.93,Severe,Ahmedabad
92.12,95.68,18.21,29.97,32.5,31.75,18.21,50.71,Very Poor,Ahmedabad
94.02,95.68,27.14,23.51,36.97,24.88,27.14,64.11,Severe,Ahmedabad
150.27,95.68,15.9,31.96,34.86,26.35,15.9,50.77,Severe,Ahmedabad
118.91,95.68,5.42,24.89,29.22,79.47,5.42,34.64,Very Poor,Ahmedabad
91.41,95.68,5.19,6.25,23.45,25.44,5.19,28.63,Poor,Ahmedabad
95.9,95.68,10.38,27.34,33.63,30.06,10.38,44.01,Very Poor,Ahmedabad
137.87,95.68,20.2,17.41,32.98,21.89,20.2,53.18,Severe,Ahmedabad
90.71,95.68,18.12,26.02,25.73,17.89,18.12,43.85,Very Poor,Ahmedabad
108.68,95.68,17.03,19.56,32.87,22.59,17.03,49.9,Severe,Ahmedabad
98.79,95.68,17.72,30.19,31.2,26.09,17.72,48.92,Very Poor,Ahmedabad
145.75,95.68,20.61,95.94,34.71,24.66,20.61,55.33,Severe,Ahmedabad
179.43,95.68,52.33,112.01,39.42,39.15,52.33,91.75,Severe,Ahmedabad
170.52,95.68,15.49,53.98,35.22,34.03,15.49,48.6,Severe,Ahmedabad
203.4,95.68,23.03,5.36,36.63,94.3,23.03,59.66,Severe,Ahmedabad
92.71,95.68,12.92,72.86,30.65,42.08,12.92,43.57,Moderate,Ahmedabad
64.66,95.68,4.79,24.76,23.83,34.4,4.79,28.61,Poor,Ahmedabad
78.14,95.68,10.58,35.56,28.93,44.91,10.58,39.51,Poor,Ahmedabad
100.17,95.68,32.27,23.95,34.16,27.73,32.27,66.43,Severe,Ahmedabad
147.35,95.68,34.64,26.43,39.1,46.09,34.64,73.74,Severe,Ahmedabad
206.89,95.68,145.32,38.0,55.67,20.47,145.32,201.0,Severe,Ahmedabad
